Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
10-08-2023,175.6712036,1254.475952,3197.431885,9209.982422,796.1448364,138.5599976,948.552002,1291.105103
11-08-2023,175.7305145,1259.767822,3203.655762,9170.046875,787.8468628,138.4100037,937.4833984,1275.072021
14-08-2023,177.3811646,1274.654785,3204.631104,9135.549805,784.0021362,140.5700073,944.0753174,1295.241211
16-08-2023,174.5246429,1273.616211,3212.572754,9231.495117,781.7145996,135.0700073,941.074585,1318.431152
17-08-2023,171.9843903,1255.242432,3191.532959,9188.128906,777.3831177,133.9799957,936.3027954,1311.971436
18-08-2023,172.4687347,1264.540649,3127.762451,9267.265625,774.1953125,133.2200012,935.3189087,1290.826294
21-08-2023,173.8030701,1250.742676,3159.857178,9250.361328,773.5869751,134.6799927,939.7955322,1306.255249
22-08-2023,175.1769714,1250.444824,3141.743164,9302.401367,770.2774658,134.25,936.6471558,1304.72168
23-08-2023,179.0219269,1251.834595,3156.698242,9409.274414,772.1755981,135.5200043,951.2576294,1308.625244
24-08-2023,174.336853,1230.790405,3146.945068,9382.568359,768.6227417,131.8399963,953.3237915,1323.171143
25-08-2023,176.5410004,1225.107544,3140.953369,9315.925781,759.9597778,133.2599945,954.7504272,1319.918213
28-08-2023,178.1026917,1212.897705,3135.612061,9406.088867,767.8684082,133.1399994,954.8979492,1315.782227
29-08-2023,181.9871826,1201.283813,3136.169189,9429.168945,773.9763794,134.9100037,952.1431274,1317.641113
30-08-2023,185.4762726,1200.142334,3149.91748,9600.822266,768.3307495,135.0700073,943.4359131,1333.906494
31-08-2023,185.6937408,1194.657837,3118.195068,9804.081055,764.8022461,138.0099945,943.288269,1334.185425
01-09-2023,187.2653046,1197.461914,3139.002441,10124.99414,766.3839722,138.1199951,953.0778809,1341.992676
05-09-2023,187.5025482,1202.896973,3185.588135,10057.22363,766.4814453,137.2700043,952.7826538,1374.57019
06-09-2023,180.7911987,1205.428101,3186.098877,9975.636719,776.5070801,135.3600006,942.0584717,1373.22229
07-09-2023,175.5031891,1207.065918,3209.646973,10075.50293,783.9777222,137.8500061,950.0770264,1362.765991
08-09-2023,176.1159668,1215.106445,3197.24585,10125.72852,790.0856323,138.2299957,954.8979492,1365.926025
11-09-2023,177.2823181,1228.209473,3233.241455,10323.54883,794.1738281,143.1000061,962.4737549,1372.292847
12-09-2023,174.257782,1210.46582,3326.272705,10293.90234,796.6559448,141.2299957,974.5262451,1395.203979
13-09-2023,172.1920013,1216.520996,3314.243164,10264.30664,800.0626831,144.8500061,973.8374634,1392.648071
14-09-2023,173.7042694,1217.637695,3306.998047,10278.76172,799.5759888,144.7200012,971.7714233,1400.641235
15-09-2023,172.9827118,1219.895996,3342.528809,10315.12109,808.750061,140.3899994,976.4448242,1404.963379
18-09-2023,175.9084167,1209.274658,3349.820801,10312.0332,792.8354492,139.9799957,974.2310791,1386.560181
20-09-2023,173.4571381,1182.324097,3349.728271,10140.18457,761.0304565,135.2899933,971.2302856,1385.119385
21-09-2023,171.9152069,1173.712769,3330.452881,10078.98145,755.9932861,129.3300018,943.8294067,1395.808228
22-09-2023,172.7652435,1168.823975,3347.498779,10324.82324,744.4588623,129.1199951,934.9745483,1390.603271
25-09-2023,174.0403137,1161.627319,3322.882324,10376.81445,745.1158447,131.2700043,940.9269409,1370.155273
26-09-2023,169.9680481,1162.644775,3330.824707,10345.89453,748.352356,125.9800034,933.4003906,1357.607544
27-09-2023,168.45578,1175.747803,3334.168701,10467.5166,743.0961304,125.9800034,927.890625,1363.509644
28-09-2023,168.7127686,1158.475708,3285.354004,10354.41992,741.5630493,125.9800034,927.3987427,1337.903076
29-09-2023,169.2267456,1163.88562,3277.783203,10398.7666,742.8284302,127.1200027,936.5487671,1334.185425
03-10-2023,170.4028931,1150.559204,3264.081543,10140.33203,733.9464722,124.7200012,925.1358032,1332.837646
04-10-2023,171.6483307,1148.573853,3286.282715,9927.614258,744.4102173,127,915.0510864,1342.457397
05-10-2023,172.8838806,1148.549194,3334.215088,10006.3125,747.4276123,125.9599991,925.6768799,1360.209961
06-10-2023,175.4339905,1150.484741,3363.986572,10096.37598,746.6002808,127.9599991,929.9568481,1374.384155
09-10-2023,176.9165955,1140.682251,3379.732422,10040.26953,737.9372559,128.2599945,923.4632568,1371.363403
10-10-2023,176.3235474,1145.719971,3370.954102,10167.87012,742.1226807,129.4799957,935.8600464,1389.673828
11-10-2023,177.7172394,1163.9104,3353.304199,10204.22949,749.3013916,131.8300018,937.7293701,1388.976563
12-10-2023,178.6166687,1166.069336,3290.741455,10369.66016,754.289856,132.3300018,938.8608398,1362.115356
13-10-2023,176.7782288,1166.019775,3317.029785,10513.38281,747.4276123,129.7899933,935.958374,1330.188721
16-10-2023,176.6497345,1163.414063,3273.556885,10490.79199,744.4345093,132.5500031,936.0568237,1332.977051
17-10-2023,175.0979156,1168.9729,3257.765381,10536.16797,750.0800171,131.4700012,938.5164795,1340.691406
18-10-2023,173.8030701,1153.462769,3239.372314,10573.06641,739.640686,128.1300049,928.5302124,1338.925537
19-10-2023,173.4274902,1144.603271,3218.324463,10556.65039,737.3045044,128.3999939,920.6591797,1332.512329
20-10-2023,170.8773956,1141.104248,3254.552979,10511.52051,741.125061,125.1699982,917.7075806,1326.563843
23-10-2023,170.9959869,1123.286011,3175.949219,10342.9541,732.9730835,126.5599976,914.9527588,1309.276001
